,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
22.6,0.744000003,-2.328114874,3.816114881,-1.644548007,-7.28371288,3.994616866,3.913726726,-4.014210328,11.84166378,8.020999661,-0.496951277,16.5389506
22.55,1.423721565,-3.060041581,5.90748471,-0.770955439,-5.078114469,3.536203591,4.091082135,-3.646791698,11.82895597,0.841280833,-7.545981241,9.228542908
22.5,-4.089182657,-7.868761783,-0.309603531,-3.55058684,-8.821454519,1.720280839,-0.290350469,-7.384282477,6.803581539,3.983489638,-3.623578861,11.59055814
22.45,-3.636040816,-6.939158547,-0.332923084,-4.171389949,-8.82155022,0.478770323,-0.74190066,-7.11883926,5.635037941,5.023429672,-2.359163683,12.40602303
22.4,-1.483873248,-5.096202965,2.128456468,0.747060508,-5.334805608,6.828926623,2.217201854,-5.398632829,9.833036537,5.734445456,-3.617286209,15.08617712
22.35,-0.965015814,-4.272885639,2.342854012,-4.210472339,-8.942902895,0.521958218,-5.058774273,-11.93087344,1.813324899,-2.719777627,-11.09718176,5.657626506
22.3,-6.420644629,-9.987130421,-2.854158836,-4.616759519,-9.892995159,0.65947612,-6.140697546,-13.88028514,1.598890051,2.641853868,-5.697509672,10.98121741
22.25,-5.03070508,-9.422416274,-0.638993886,-8.819377232,-15.19673193,-2.442022534,-5.364047939,-13.57315035,2.845054472,-2.397983499,-11.63286822,6.836901225
22.2,-3.122748089,-6.150671343,-0.094824834,-1.007664335,-6.247891347,4.232562678,-0.332481337,-8.113240164,7.44827749,3.499083112,-4.850004901,11.84817112
22.15,0.949232866,-1.996694874,3.895160605,-0.357811306,-4.731394257,4.015771646,3.661782832,-2.813023706,10.13658937,7.811520283,0.859659013,14.76338155
22.1,1.44395716,-2.016742567,4.904656888,2.905091378,-1.906480127,7.716662884,2.202837114,-4.435919509,8.841593737,4.629647207,-2.942053654,12.20134807
22.05,-1.50349505,-4.845724647,1.838734548,0.361804161,-4.904139288,5.627747611,7.712085122,1.620617018,13.80355323,10.50324873,3.164378158,17.84211929
22,1.935505396,-1.249307836,5.120318629,5.492930591,0.602061677,10.3837995,12.41954411,5.878535901,18.96055232,11.61880661,4.991256075,18.24635714
21.95,-0.613206158,-2.953911153,1.727498837,-0.239225504,-4.659587693,4.181136684,2.114927752,-4.426901989,8.656757493,7.765018449,0.305576052,15.22446085
21.9,1.279787552,-2.644835199,5.204410304,2.411250939,-2.380320547,7.202822425,0.609666893,-5.505267029,6.724600816,1.645172221,-5.395141413,8.685485855
21.85,-0.499700502,-3.506039786,2.506638782,0.386546912,-4.72606876,5.499162583,6.968707895,1.219793155,12.71762263,14.15958278,7.282229267,21.03693629
21.8,2.343654965,-0.236383911,4.923693842,5.602214452,1.809426685,9.395002219,5.848222009,0.226138319,11.4703057,6.081597442,-1.016300296,13.17949518
21.75,-0.616754946,-3.605090971,2.371581079,1.774523589,-2.381037431,5.930084609,4.384871024,-2.036972572,10.80671462,10.17385873,3.026623524,17.32109393
21.7,1.172020886,-1.030147644,3.374189416,1.992802998,-2.634922538,6.620528533,7.290453146,1.789091054,12.79181524,8.537625483,2.012282964,15.062968
21.65,-0.295449743,-3.489215864,2.898316377,2.498693692,-2.377796199,7.375183583,11.09976924,4.59238641,17.60715206,7.372109197,-0.020067425,14.76428582
